Emp_Type,Job_Title,Company,Date_Posted,Salary_Type,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary
Contract,QA IT Specialist (Contract),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 18 Mar 2020,Monthly,5 years  exp,Senior Executive,"Engineering, Healthcare / Pharmaceutical, Information Technology, Manufacturing, Sciences / Laboratory / R&D",,5500.0,6500.0,6000.0
"Permanent, Full Time",Lab IT System Engineer,ZENTEK ENGINEERING PTE. LTD.,Posted 18 Mar 2020,Monthly,,Junior Executive,"Healthcare / Pharmaceutical, Information Technology","Install and configure software and hardware used in LaboratoryManage day-to-day operational users supportProvide monitoring and      maintenance support for Laboratory computer systemTroubleshoot issues and outagesUpgrade systems with new releases and modelsDevelop technical documentation, manuals and IT policiesSupport deployment and validation projects for laboratory computer system, Bachelorâs degree/Diploma in Computer Science, IT or any related discipline. Fresh Degree in Computer Science or Computer Engineering are welcomed.Prior experience in an GxP-related environment in a Biotech or Pharmaceutical company with computer system validation experience is a plusExperience with Laboratory Computer System Support an advantageFamiliarity with various operating systems and platforms, databases and software development life cycle (SDLC) an advantageResourcefulness and problem-solving aptitudeSelf-motivated and positive with high degree of initiative and excellent follow-up skills, along with strong analytical and problem-solving skillsExcellent interpersonal, verbal and written communication and presentation skillsComfortable in a fast-paced environment with minimal direction",3500.0,5000.0,4250.0
Full Time,Osteopath / Physiotherapist / Clinical Research,ORCHARD HEALTH CLINIC PTE. LTD.,Posted 18 Mar 2020,Monthly,2 years  exp,Fresh/entry level,"Healthcare / Pharmaceutical, Medical / Therapy Services, Professional Services",,4000.0,5000.0,4500.0
Permanent,IOT Business Development Manager,ASUS GLOBAL PTE. LTD.,Posted 17 Mar 2020,Monthly,3 years  exp,Executive,Sales / Retail,"Developing and growing the ASUS Embedded and IOT Computing business in assigned SEA countries;Researching organizations and individuals to find new opportunities and new market;Planning and overseeing new marketing initiatives, seek for opportunity to improving sales; contacting potential clients to establish rapport and arrange meetings;Maintaining professional cooperation relationship and Increasing the value of current customers while attracting new ones;Works closely with the HQ PMs/Engineer and extended teams to map end-user customer business or partnerâs requirements, provide most optimized IPC/IOT solutions. Be able to convert them to Design Wins and transform them into revenue opportunities;Provide trustworthy feedback and after-sales support;Attending conferences, meetings, and industry events upon company and supervisorâs assignment to further develop ASUS IOT business;Developing win-win alliance relationship with IOT vendors; utilize possible resource to expend and increase ASUS IOT business scope;Training personnel and helping assigned countriesâ team members to develop business, Goal-oriented, competitive, persuasive and can work individually and in a team environment3 years of experience as Product Manager, Sales, or in related fieldAbility to manage complex projects and multi-taskExcellent organizational and communication skillsAbility to flourish with minimal guidance, be proactive, and handle uncertaintyProficient in Word, Excel, Outlook, and PowerPointKnowledge of ARM architectures, IOT related and wireless transmission technology is advantagesStrong command and articulation in EnglishAble to travel overseas upon requirement and assignment",3000.0,6000.0,4500.0
"Permanent, Full Time",Lead Architect,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,10 years  exp,Professional,"Information Technology, Telecommunications","Understand in depth, the architecture and design of the 5G and IOT platforms to the extent of being able to install and deploy the platform for enterprise customer trial engagements.Drive, Mentor and lead software development teams to deliver the platform roadmap in timely fashion.Contribute and lead new technology and partner selection for 5G/IOT platforms and applications. Focus areas include augmenting API driven features on big data, machine learning, auto scaling micro-services, scalable data storage/retrieval.Design solution architectures for 5G apps and facilitate trial deployments of the 5G apps on the business services platformCo-develop 5G applications with enterprise customers and partners and facilitate customer trials/experiments and internal R&D trials/experiments.Participate and advise on common platform functionality, and consistent, best-practice application design.Participate on the move to full SaaS deployment and managementContribute technical and thought leadership to the SingTelâs 5G/IOT platform initiative, and how to leverage IoT and big data management, Security/privacy, AI/ML components into the platform architecture.Evangelize the platform for use by other business units within SingTel and group companies, and lead the solution design for these applications to effectively use the platform.Interact with implementation partners and customers to understand their needs, and feed this back to the development teams and roadmap.Participate in technical partnership conversations and due diligence.Participate and lead in technical evaluations of partner technology with a hands on approach.",7800.0,11800.0,9800.0
"Permanent, Full Time",Senior Solution Architect,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,6 years  exp,Professional,"Information Technology, Telecommunications","Understand in depth, the architecture and design of the 5G business services platform to the extent of being able to install and deploy the platform for enterprise customer trial engagements.Design solution architectures for 5G apps and facilitate trial deployments of the 5G apps on the business services platformCo-develop 5G applications with enterprise customers and partners and facilitate customer trials/experiments and internal R&D trials/experiments.Participate and advise on common platform functionality, and consistent, best-practice application design.Participate on the move to full SaaS deployment and managementContribute technical and thought leadership to the SingTelâs 5G platform initiative, and how to leverage IoT and big data management, Security/privacy, AI/ML components into the platform architecture.Evangelize the platform for use by other business units within SingTel and group companies, and lead the solution design for these applications to effectively use the platform.Interact with implementation partners and customers to understand their needs, and feed this back to the development teams and roadmap.Participate in technical partnership conversations and due diligence.Participate and lead in technical evaluations of partner technology with a hands on approach.",5500.0,8500.0,7000.0
"Permanent, Full Time",Solution Architect,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,4 years  exp,Professional,"Information Technology, Telecommunications","Understand in depth, the architecture and design of the 5G business services platform to the extent of being able to install and deploy the platform for enterprise customer trial engagements.Design solution architectures for 5G apps and facilitate trial deployments of the 5G apps on the business services platformCo-develop 5G applications with enterprise customers and partners and facilitate customer trials/experiments and internal R&D trials/experiments.Participate and advise on common platform functionality, and consistent, best-practice application design.Participate on the move to full SaaS deployment and managementContribute technical and thought leadership to the SingTelâs 5G platform initiative, and how to leverage IoT and big data management, Security/privacy, AI/ML components into the platform architecture.Evangelize the platform for use by other business units within SingTel and group companies, and lead the solution design for these applications to effectively use the platform.Interact with implementation partners and customers to understand their needs, and feed this back to the development teams and roadmap.Participate in technical partnership conversations and due diligence.Participate and lead in technical evaluations of partner technology with a hands on approach.",5000.0,7000.0,6000.0
"Contract, Full Time","Scientist (Neuromorphic Programme), Robotics & Autonomous Systems, I2R",A*STAR RESEARCH ENTITIES,Posted 17 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Neuromorphic coding: Investigate how to represent information with spikes in an optimal way and interface the sensor with the neuromorphic chipLearning: Spiking Neural Network, its principal and realization on Neuromorphic chip. At the minimum, candidate must have experience on neural network related machine learning, especially deep learning and keen to adapt to spiking network. Knowledge in on-chip learning (including deep learning) is highly advantageousHardware-software integration: Algorithm design and optimization with the hardware constraints to allow the algorithm to be implemented as well as develop desired specification to be implemented in the hardware, PhD in Computer Science, Computer Engineering, ECE, EE, EEE, or Computational NeuroscienceMinimum 4 years of relevant experience (including PhD internship)Preferred experience in the following:",4500.0,9000.0,6750.0
"Permanent, Full Time",Lead Full Stack Developer,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,10 years  exp,Professional,"Information Technology, Telecommunications","Contribute to software development and associated new technology selection and adoption. Focus areas include developing API driven features on big data, machine learning, auto scaling micro-services, scalable data storage/retrieval.Work on architecture and software development across platform components like customer onboarding, data management, application lifecycle etc along with development of 5G applications, collaborating with multiple teams within the SingTel Group.Participate on common platform functionality, and consistent, best-practice platform and application design.Adopt industry standard coding practises to develop the platform to ensure scalability, security and stabilityParticipate on the move to a full SaaS deployment and managementTrain Pre-sales team and solution architecture team to use the Singtel 5G platform and act as SME on the platform.Collaborate with Business development and partnership team to develop integration adapters for third party technology and applications.Participate in technical partnership conversations and due diligence.",7800.0,11800.0,9800.0
"Permanent, Full Time",Senior Full Stack Developer,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,6 years  exp,Professional,"Information Technology, Telecommunications","Contribute to software development and associated new technology selection and adoption. Focus areas include developing API driven features on big data, machine learning, auto scaling micro-services, scalable data storage/retrieval.Work on architecture and software development across platform components like customer onboarding, data management, application lifecycle etc along with development of 5G applications, collaborating with multiple teams within the SingTel Group.Participate on common platform functionality, and consistent, best-practice platform and application design.Adopt industry standard coding practises to develop the platform to ensure scalability, security and stabilityParticipate on the move to a full SaaS deployment and managementTrain Pre-sales team and solution architecture team to use the Singtel 5G platform and act as SME on the platform.Collaborate with Business development and partnership team to develop integration adapters for third party technology and applications.Participate in technical partnership conversations and due diligence.",6600.0,9800.0,8200.0
"Permanent, Full Time",Full Stack Developer,SINGAPORE TELECOMMUNICATIONS LIMITED,Posted 17 Mar 2020,Monthly,4 years  exp,Professional,"Information Technology, Telecommunications","Contribute to software development and associated new technology selection and adoption. Focus areas include developing API driven features on big data, machine learning, auto scaling micro-services, scalable data storage/retrieval.Work on architecture and software development across platform components like customer onboarding, data management, application lifecycle etc along with development of 5G applications, collaborating with multiple teams within the SingTel Group.Participate on common platform functionality, and consistent, best-practice platform and application design.Adopt industry standard coding practises to develop the platform to ensure scalability, security and stabilityParticipate on the move to a full SaaS deployment and managementTrain Pre-sales team and solution architecture team to use the Singtel 5G platform and act as SME on the platform.Collaborate with Business development and partnership team to develop integration adapters for third party technology and applications.Participate in technical partnership conversations and due diligence.",5000.0,7000.0,6000.0
Full Time,Commissioning Engineer,"COMMISSIONING AGENTS INTERNATIONAL SINGAPORE, PTE. LTD.",Posted 17 Mar 2020,Monthly,3 years  exp,Junior Executive,"Consulting, Healthcare / Pharmaceutical",,4000.0,5000.0,4500.0
"Contract, Full Time",Engineering Inspector,HITACHI ASIA LTD.,Posted 17 Mar 2020,Monthly,2 years  exp,Executive,Engineering,"Supports QA Engineer for during commissioning worksChecking works before Electrical and Mechanical commissioningEnsure steps and procedures before Full system commissioning, A Degree or Diploma in Engineering or Quality AssuranceHave knowledge in Electrical EngineeringWork experience in Radiotherapy field is an added advantageAbility to communicate with people at all levels at work siteFlexible to be placed on work shift when required",6000.0,7000.0,6500.0
Full Time,Field Application Specialist ,AITBIOTECH PTE. LTD.,Posted 17 Mar 2020,Monthly,2 years  exp,Junior Executive,"Customer Service, Sales / Retail, Sciences / Laboratory / R&D","Responsible for field application technical support, namely (but not limited to):1. Automated Liquid Handler (Eppendorf)2. Automated Nucleic Acid Extractor (AITbiotech)3. Real-Time PCR Cyclers (Bio-Rad/ABI/AITbiotech) 4. Molecular Diagnostic Kits for infectious pathogensProvide pre-& post-sales support, application and hands-on training to customersRespond to all inquiries and support request in a timely mannerIdentify customerâs needs and work closely with the sales team for market conversion and sales expansionOccasionally traveling is required to support and train the oversea distributorsSupport the implemented GDPMDS & ISO 13485 Quality Management SystemAny other duties assigned by the Superior, Minimum a Master Degree in Science with a strong molecular biology backgroundPrior experience in Field ApplicationExcellent communication and presentation skills, plus an analytical mindsetPossess excellent interpersonal skills and able to work with other departmentsSelf-motivated, highly organized and reliableResourceful and strong in problem-solving, Enjoy working with a startup environment, and with âready to get the hands dirtyâ attitudeStrong work ethic, setting and achieving goalsKeen to learn new things",3000.0,4500.0,3750.0
Full Time,Physiotherapist,ALLIUM HEALTHCARE (SINGAPORE) PTE. LTD.,Posted 17 Mar 2020,Monthly,3 years  exp,Senior Executive,Healthcare / Pharmaceutical,"Sustain business volume with a high level of customer service and client engagement.Conduct client assessments during admissions as well as periodic reviews of clientsâ conditionMaintain proper records of assessment and implementation of care plans on clientsConduct regular case discussions with the multi-disciplinary teamSupervise the running of outreach programmes to the community, and therapeutic programmes for clientsCoordinate, implement and monitor clinical and service quality performance indicators for continuous improvement in the Care StudioAssist in collecting/maintaining statistical information needed for regular reports, Bachelor/Masters degree in PhysiotherapyFull Registration with AHPC with valid Practising CertificateMinimum 3 years relevant working experiencePrior experience in community/eldercare setting is advantageousExcellent communication and interpersonal skillsPassionate about caring for frail seniors",4200.0,5500.0,4850.0
"Permanent, Full Time","Senior Information Security Analyst, Vulnerability",STARWOOD ASIA PACIFIC HOTELS & RESORTS PTE. LTD.,Posted 17 Mar 2020,Monthly,5 years  exp,Manager,"Hospitality, Information Technology",,7000.0,9500.0,8250.0
Contract,Programme Manager,TEMASEK LIFE SCIENCES LABORATORY LIMITED,Posted 17 Mar 2020,Monthly,4 years  exp,Manager,Sciences / Laboratory / R&D,"Manage a multi-institutional research programme and act as a liaison between the research teams and stakeholdersMonitor and track the progress of the programme to ensure a smooth execution, and regularly update the ProgrammeDirector on the progressEnsure that the programme milestones, timelines and budget are adhered to, and resolve issues and challenges related to the programme to meet the deliverablesOrganise programme-related and Steering Committee meetings, and provide secretariat support to the programmeCoordinate and prepare programme reports and submissions for internal and external stakeholdersPerform any other relevant, programme-related duties as required, Masterâs degree or PhD in Life Science or Engineering, preferably in the area of agricultural biotechnologyMinimum 4 years relevant experience in managing multi-institutional research programmes or projectsExcellent communication and interpersonal skills to work effectively with multi-institutional stakeholdersStrong project and time management skillsSelf-starter, highly independent and resourceful",3500.0,5500.0,4500.0
"Permanent, Full Time","Senior Process Development Engineer, MSAT",LONZA BIOSCIENCE SINGAPORE PTE. LTD.,Posted 17 Mar 2020,Monthly,4 years  exp,Professional,"Healthcare / Pharmaceutical, Manufacturing, Sciences / Laboratory / R&D",,5000.0,9000.0,7000.0
"Permanent, Full Time","Department Manager, QA Cell & Gene Therapy",LONZA BIOSCIENCE SINGAPORE PTE. LTD.,Posted 17 Mar 2020,Monthly,8 years  exp,Manager,"Healthcare / Pharmaceutical, Manufacturing",,8000.0,12000.0,10000.0
Contract,Solution Architect,PLOY ASIA PTE. LTD.,Posted 16 Mar 2020,Monthly,10 years  exp,Manager,"Consulting, Information Technology","Solutions Architects are expected to maintain effective product group relationships.Understanding of competitive technology enables the Architect to properly assess feasibility of migrating customer solutions from, and/or integrating with customer solutions hosted on, non-Microsoft platforms.Helps customer account teams identify, pursue and close strategic business development opportunities., Architects must be effective in fostering executive level relationships.Solutions Architects help translate business requirements into technology requirements for inclusion in contracts and/or statements of work (SOW).SA must have proven experience managing projects through the entire project lifecycle. This includes managing multi-phase/multi-dimensional/multi-resource projects to conclusion while maintaining high customer satisfaction., BS/BA degree or equivalent work experience combined with a minimum of 10 years relevant industry experience providing solution architecture and consulting.Expert level knowledge and real-world experience in large-scale application development is a requirement.Deep knowledge of C# and .NET programmingOpen SourceDevopsExperience with ISD, SDM and leveraging tools such as VSTS to manage the Application Lifecycle ManagementDesired technical knowledge of, and real-world experience in, Mobility (i.e., Windows 10) solutionsDeep technical knowledge of, and real world experience in, Microsoft Azure solutionsKnowledge of Monitoring and TelemetryExperience with IoT solutions is usefulKnowledge of BOTs is usefulExperience in Consulting services pre-sales activities is key hereExperience giving presentations to executive audiences and explaining the benefits of the platform.",6000.0,12000.0,9000.0
Full Time,Solutions Architect - Developer Specialist,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Posted 16 Mar 2020,Monthly,10 years  exp,Professional,Information Technology,"Be an active member of the AWS Solution Architecture team by engaging in on-to-one and one-to-many application architecture and development discussions with developers, software engineers, enterprise/solution architects and CTOsAccelerate adoption of AWS in the student, startup and professional developer communities by engaging through conferences, startup events, meetups, user groups and hackathonsHelp lead the direction for AWS developer events to make them best-in-class from a developerâs perspective, representing AWS through speaking, doing live demos and interacting with attendeesCreating technical content such as reference apps, starter kits and patterns and practical guidance that will get developers excited about the potential of AWS as a development platformContributing to a library of highly-reusable developer-focused artefacts such as demonstrations, sample code, blog posts, tutorials, lunch & learns, webinars and other modes of technical enablementProviding end-user feedback to AWS Product Management and Engineering teams based on the developer âvoice of the customerâ. Participate in technical and design discussions with AWS technical teams to help speed customer adoption and ensure best practices during implementation, Be highly technical and analytical, possess 5+ years of current solution architecture (implementation, development & consulting) experience Minimum 3 years of experience leading a development team in a professional production environment The right person will have passion for software development, application architecture and technology in general, as well as a desire to work with, educate and inspire a community of developers Ability to work with all levels of customer engagement â start-ups, enterprises, mid-market, and the ability to organize and explain complex technical concepts to development teams and executive-level audiences Outstanding verbal and written communications skills are a must, with the ability to communicate complex ideas and concepts clearly in one-to-one and one-to-many public presentations Deep working knowledge of software development practices and technologies is a must The role is based in Melbourne however travel throughout ANZ may be required, Computer Science, IT Systems, Software Engineering or Math background is requiredExperience and working knowledge architecting commercial application solutions, with expertise in Mobile/Cloud/Web/System/Data development for Linux/Windows and development on mobile platforms such as iOS/Android. High proficiency in web/scripting languages (NodeJS, JavaScript, Python, Ruby); back-end and system languages (Java, CSharp, C++); mobile languages (Xamarin, Java, Objective-C); IoT technologies (MQTT); enterprise application and database architecture a bonus.",11000.0,21000.0,16000.0
"Permanent, Full Time",Medical Science Liaison,JOHNSON & JOHNSON PTE. LTD.,Posted 16 Mar 2020,Monthly,3 years  exp,Professional,"Healthcare / Pharmaceutical, Medical / Therapy Services","Establish and maintain professional relationship with healthcare providers, including clinical trial investigators, physicians, pharmacists, nurses and other healthcare professionalsServe as an educational resource to healthcare providers about One J&Js products (current and in development)Communicate scientific information in a variety of settings, including but not limited to internal meetings, clinical investigator meetings, advisory boards and individual discussionsEstablish relationships with opinion leaders to expand research, advisory and other collaborative opportunitiesServe as a liaison for healthcare providers who express interest in conducting investigator-initiated research, to facilitate review and consideration of research proposalsRepresent and support our products at medical conferencesRespond to unsolicited requests for information on clinical dataKeep abreast of changes in treatment trends that could impact our productsServe as a disease-state resource and communicate information obtained from appropriate field interactions to internal staffParticipate in training and planning meetings within the companyWork closely with sales & marketing and from a medical perspective; provide input into marketing strategies and the development of promotional materials, Medical or science background (pharmacy, life-science/biotechnology)Medical Doctor or PhD qualifications, with specialization are preferredAt least 2 years corporate working experience within the medical, research or pharmaceutical industryExcellent interpersonal & communication skillsDemonstrate strong planning, organizational and decision making skillsGood team-player with strong interdependent collaboration partnershipMeticulous, strong analytical and scientific skillsResults oriented with high sense of urgencyHigh integrity, ethical & professionalIndependent, self-driven and change agentCoaching and mentoring where applicable",6000.0,12000.0,9000.0
"Contract, Full Time","Senior Research Engineer (IEE), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,3 years  exp,Professional,Sciences / Laboratory / R&D,"Conduct background research on existing IoT technologies and best practices adopted in the industryDevelop scalable IoT platform that provides end-to-end solution for different IT needs. This includes designing and implementing of:Framework and protocol for both sensor and network monitoring and management;Security and data protection;System and application performance optimization.Execute full software development life cycle (SDLC).Integrate software components into a fully functional software systemOn-site deployment, Minimum Bachelor degree in the field of Computer Science, Computer Engineering, or related field3 or more years working experience in software developmentExperience in Server Application Programming using Java, and/or PHP, and related application frameworkExperience with IoT and wireless technologies, communication interfaces, and bus architectures, such as UART, I2C, SPI, PCI, JTAGExperience with system design, implementation and testingExperience in programming with Python, C, C++, and JavaKnowledge of cloud computing and network management is requiredFamiliar with IoT device data collection and the associated protocols such as MQTT, CoAP and HTTP will be advantageousWorking knowledge of software testing, distributed revision control such as Git and software configuration managementAbility to work independently to translate research ideas into programs with efficient codingGood team player with both research and engineering ethic",3900.0,7800.0,5850.0
"Contract, Full Time","Senior Research Engineer (IEE), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,3 years  exp,Professional,Sciences / Laboratory / R&D,"Design and implement the server-side components of our IoT platformExecute full software development life cycle (SDLC)Write well-designed, testable codeDocument and maintain software functionalityIntegrate software components into a fully functional software systemImplementation of security and data protection, Minimum Bachelor degree in the field of computer science, computer engineering, or a related fieldMinimum 3 years of relevant working experience in software developmentExperience in Server Application Programming using Java, and/or PHP, and related application frameworkExperienced with various communication interface and protocolsWorking knowledge of IoT device data collection and the associated protocols such as MQTT, CoAP and HTTP will be advantageous.Familiar with multitier architecture, Service-Oriented Architecture and Microservices ArchitectureAppreciation of the importance of good User Experience (UX)Working knowledge of software testing, distributed revision control such as Git and software configuration managementKnowledge of cloud computing is advantageousAbility to work independently to translate research ideas into programs with efficient codingGood team player with both research and engineering ethics",3900.0,7800.0,5850.0
"Permanent, Full Time",Senior Information Technology Security Expert - Senior DevSecOps Engineer,PALO IT SINGAPORE PTE. LTD.,Posted 13 Mar 2020,Monthly,3 years  exp,Senior Executive,"Consulting, Information Technology","We care about our WorldWe act with CourageWe Share, itâs in our DNAWe choose PositivityWe Deliver Awesomeness, Thrive on challenge. When was the last time you failed?Are curious & always learning. What are you up to right now?Can deal with constant change. When were you last surprised?Have mastered at least one skill of your trade but youâre not defined by it. What can you teach us? Can you wear many hats?, Automate security in a DevOps pipeline (DevSecOps).Develop solutions, install/configure/integrate IT tools and security processes within an application or organization to help improve the overall IT security posture.Set up Static and Dynamic Code Analysis tools, review the results and explain any gaps and potential impact on the team.Penetration testing and container security.Evaluate and analyze the threat, vulnerability, impact, and risk to security issues discovered from security assessments.On-premise and public cloud infrastructure security.Detect and react to cyber-attack on the public system.Write and advise on reusable, testable, efficient and secure code with the development team.Work in all phases of a rapid product development lifecycle.Document, and share knowledge on developed DevSecOps solutions.Develop and implement processes to handle releases from Development to Operations while respecting internal rules, and offering solutions for rollback., You hold a Bachelors, Masters or Ph.D. degree in IT, Information Management and/or Computer Science.You have at least 3 years of experience in Application Security role.You have attained relevant security certifications.You are interested in designing scalable, reliable and secure software using a variety of different languages, frameworks, libraries and technical environments.You have exposure to IoT Security, knowledge of cryptography/encryption and a good understanding of networking.You are familiar with Agile Methodologies, Scrum, Kanban, and interested in learning more about Design Thinking, Lean Start-up, TDD, BDD, or XP.You are communicative with a good sense of idealism and pragmatism.You are passionate about technology and continuous learning comes naturally to you.You have excellent interpersonal, oral/written communication and cross-group collaboration skills.You are an independent thinker with a strong work ethic but also willing and able to conform to established architectural constraints.",7500.0,15000.0,11250.0
"Contract, Full Time","bScientist (Communications n Network), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"IIoT edge platformJoint design and optimization of industrial wireless network and edge computingRobust industrial IoT devices, PhD in electrical and computer engineering, computer science, or controlEntry Level candidate my applyIn-depth knowledge in wireless communication systems and networksExperience and training in signal and information processing for communicationsIn-depth knowledge on optimizationExposure and experience with wireless communication standardsGood programming skills with C++, Java, .Net, PythonStrong team work ethics with excellent interpersonal skillsSelf-motivated, innovative quick learner",4500.0,9000.0,6750.0
Permanent,Test Engineer (for SMART homes),RECRUIT EXPERT PTE. LTD.,Posted 13 Mar 2020,Monthly,2 years  exp,Junior Executive,Information Technology,"Handle testing for all IoT platformsDesign and develop test cases and proceduresAnalyze gaps and supports in closure of gapsPrepare test environments, execute test procedures and automation scriptsConduct test reviewsAnalyze business & system requirements, Minimum DiplomaAt least 1 year of experienceSingaporeans only",2000.0,4500.0,3250.0
"Permanent, Full Time",Hardware Engineer,AZTECH TECHNOLOGIES PTE. LTD.,Posted 13 Mar 2020,Monthly,4 years  exp,Executive,Engineering,,3000.0,4500.0,3750.0
Full Time,Software Full Stack Developer,ECHOL TECH PTE. LTD.,Posted 13 Mar 2020,Monthly,1 year  exp,Executive,Information Technology,,3800.0,4200.0,4000.0
"Permanent, Full Time",Technical Product Manager,VIEWQWEST PRIVATE LIMITED,Posted 13 Mar 2020,Monthly,3 years  exp,Professional,"Engineering, Information Technology","Carry out research on new products/trends/technologies in the industry that can aid or potentially trigger new product ideas.Work with other members of the R&D team to come up with POC design and oversee the implementation.Work with hardware design and assembly house â primarily from Shenzhen, China â to source, design and develop the required hardware for the products.Coordinate beta testing for all new products.Own technical issues that are escalated from tech support/customer support team for newly released products and ensure timely resolution.Facilitate the creation and maintenance of proper product documentation.Facilitate the product certification processes (ex: IMDA certification, etc)Support the product manager and business teams by providing relevant analytics and supporting data., Masterâs or Bachelors degree in Computer Engineering, Electrical & Electronics Engineering or other related technical field.Total work experience of 3-5 years in a hardware development / prototype building environment.Experience in architecting the development of hardware and basic understanding of circuit designExperience in prototyping with Raspberry Pi/Arduino is a plusKnowledge on different MCUâs and Protocols (USB, CDS, I2C, UART, MODBUS, TCP/IP)Working experience in LinuxPython/BASH scripting experience will be a big plusPassion for technology is crucialDemonstrates ability to learn quickly and adapt to a rapid changing environmentLanguage: must speak fluent English.",4500.0,6200.0,5350.0
Permanent,"Physiotherapist (Perm, up to $3,500)",RECRUIT EXPERT PTE. LTD.,Posted 13 Mar 2020,Monthly,5 years  exp,Non-executive,Hospitality,"Identify patients needs and implement physiotherapy interventions appropriate to the needsEvaluate interventions using appropriate outcome measuresDocument clinical examinations, diagnosis, treatment and outcome evaluations for follow-up actionsEnsure clinical practice and conduct are at high level , Minimum Degree in Physiotherapy Allied Health Professions Council registered and Singapore Physiotherapy Association memberWith minimum 3 years experience",2000.0,3500.0,2750.0
"Contract, Full Time",Senior Research Fellow (Engineering / Environmental Science / Geography),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 13 Mar 2020,Monthly,5 years  exp,Professional,Sciences / Laboratory / R&D,"Assist in projects related to advanced water quality assessments, contaminant source tracking and natural and engineered water treatment processesProvide leadership in watershed evaluations for SE Asia region including working directly with graduate students in a mentoring roleAssist in grant proposal and peer-reviewed literature writing and oral presentationsHave knowledge of SE Asia water geography and associated water quality challenges, Ph.D. in suitable field, e.g. Engineering, Environmental Science and geography related to water quality issuesHigh motivation for research and developmentGood written and oral skills in EnglishExperience in carrying out independent research as well as to be able to work in a teamProven track record of published peer-reviewed literature and oral presentations5 years of industrial and/or academic experience required",5000.0,8500.0,6750.0
"Permanent, Full Time",Medical Technologist,PARKWAY LABORATORY SERVICES LTD.,Posted 13 Mar 2020,Monthly,1 year  exp,Executive,Healthcare / Pharmaceutical,"PhlebotomyRoutine sample processing such as spinning and aliquoting of patient samples.Routine qualitative and quantitative chemical analyses on blood, CSF (cerebrospinal fluid), urine and other body fluids.Routine haematology procedures.Routine bacteriological procedures, including cultures,  isolation and identification techniques and antibiotic sensitivity testing.Routine Blood Banking procedures.Routine immunology and serology procedures.Routine microscopy procedures., Follows Laboratory policy for registration, billing, identification, processing, reporting, result retrieval and record/specimen keeping.Maintains a clean and well organised work area.Complies and maintains all applicable safety regulations in the Laboratory.Maintains proper inventory levels of all Clinical Laboratory consumables and reagents and informs senior staff if supply is low.Reviews all daily QC results and discuss any problems with senior staff.Checks the performance of all instruments and equipment in the Laboratory and to report any equipment which is not functioning properly.Complies with all regulatory guidelines, participating in CAP proficiency testing programs and in hospital quality assurance programs.Participates in a routine maintenance program for instruments and in on-going continuing education and professional development programs.Develops rapport with the Laboratory business office, nursing and other ancillary medical staff, as well as with other hospital departments.Supports flexible staffing requirements in the department and participates in shift duties.Any other duties as assigned from time to time by clinical supervisor.",3000.0,4500.0,3750.0
Full Time,Research Assistant,NANYANG TECHNOLOGICAL UNIVERSITY,Posted 13 Mar 2020,Monthly,1 year  exp,Professional,Sciences / Laboratory / R&D,"A recognised bachelorâs degree with strengths in molecular biology, meta-genomics and/or meta-transcriptomics or coral ecologyExcellent writing, communication, and organisational skills are essentialThe ability to work in a team-based environmentAn advanced dive certificate with a minimum of 35 dives completed is advantageous",2700.0,4000.0,3350.0
"Part Time, Full Time",Senior / Physiotherapist,FOCUS MOVEMENT PTE. LTD.,Posted 13 Mar 2020,Monthly,3 years  exp,Non-executive,Medical / Therapy Services,"minimum      3 years experiencefull registration with AHPChas some interest in Pilatesextra points if you are Polestar Pilates Rehabilitation trained or certifiedwilling to work shift timingspart time: available 3-4 days per weekfull time: Monday to Friday, with alternate Saturday",3500.0,8500.0,6000.0
Full Time,Smart FM Manager,AVENSYS CONSULTING PTE. LTD.,Posted 12 Mar 2020,Monthly,3 years  exp,Manager,"Architecture / Interior Design, Building and Construction, Information Technology",,5500.0,6500.0,6000.0
